auteur_nom,auteur_id
Leila S. Chudori,2
Alka Joshi,3
Premchand,4
Conrad Phillip Kottak,5
John Neter,6
Tere Liye,7
Lars Elling,8
Dr. Seuss,9
Simon Mugford,10
Martin J. Osborne,11
Norman Lewis,12
Manjit Kaur,13
Vick Wan,14
Ana Huang,15
Manav Kaul,16
Barbara O'Neill,17
Manfred B. Steger,18
Michael A. Lieberman,19
Moses of Khoren,20
Michael Cullinane,21
Carol M. Rumack,22
Manuel Alvarez Ortega,23
Anonymous,24
Lynda Gratton,25
George R. R. Martin,26
Sarah J. Maas,27
Wolfgang Wendlandt,28
Ben Bova,29
Carol A Ptak,30
E BALAGURUSAMY,31
George Yule,32
E. L. James,33
Anna Todd,34
Games Workshop,35
Barbara Oakley,36
Frank Herbert,37
Saskia Sassen,38
Gaston Leroux,39
Fernando Echevarria,40
Mark Manson,41
Agatha Christie,42
Chip Huyen,43
Todd Gitlin,44
Wallace T. MacCaffrey,45
Paul Galdone,46
Betty MacDonald,47
Roger Turvey,48
Rachel Hasson,49
Michael Sullivan III,50
Monika Mitra,51
C.s. Lewis,52
Giorgio Cencetti,53
Susan Nolen-Hoeksema,54
al-Ghazzali,55
Jeff Kinney,56
Omeros,57
Mary-Jane Knight,58
Steven Davison,59
John Gray,60
Wayne M. Becker,61
Dale Carnegie,62
Paul Griffin,63
Patricia Churchland,64
Rudolf Wittkower,65
Rhonda Byrne,66
Thomas Erikson,67
Joseph Murphy,68
Rithvik Singh,69
Hector Garcia,70
J. K. Rowling,71
Erwin G. Hansen,72
Robert Greene,73
Restituto Sierra Bravo,74
Jim Benton,75
Ursula Schiopu,76
Chogyam Ngakpa,77
"ARMSTRONG,LINDSAY",78
W. Chan Kim,79
Jean-Louis Fanchon,80
Celia Barker Lottridge,81
Juan Carlos Martin Ramos,82
Jean-Jacques Rousseau,83
Paul R. Krugman,84
